valid_time,cams_pm25,obs_pm25,cams_pm25_ug
2016-01-29,9.610115e-09,4.18,9.610115
2016-01-30,9.847316e-09,4.04,9.847316
2016-01-31,1.0715087e-08,4.09,10.715087
2016-02-01,1.1507305e-08,6.5,11.507305
2016-02-02,1.3056072e-08,5.68,13.056072
2016-02-03,9.259281e-09,3.87,9.259281
2016-02-04,7.921864e-09,8.67,7.921864
2016-02-05,9.212977e-09,8.79,9.212977
2016-02-06,6.459983e-09,5.05,6.4599833
2016-02-07,1.1509377e-08,5.41,11.509377
2016-02-08,2.8641896e-08,8.38,28.641895
2016-02-09,1.4635933e-08,3.43,14.635933
2016-02-10,8.269378e-09,4.42,8.269378
2016-02-11,1.2513562e-08,13.5,12.513562
2016-02-12,1.5605073e-08,20.0,15.605073
2016-02-13,1.3205337e-08,22.1,13.205338
2016-02-14,8.339915e-09,11.0,8.339915
2016-02-15,5.517655e-09,9.88,5.5176554
2016-02-16,1.2943885e-08,16.5,12.943885
2016-02-17,1.2750746e-08,27.8,12.750746
2016-02-18,1.5556445e-08,24.6,15.556445
2016-02-19,1.5054965e-08,10.0,15.054965
2016-02-20,8.846715e-09,3.67,8.846715
2016-02-21,9.002354e-09,3.64,9.002355
2016-02-22,8.613441e-09,4.99,8.6134405
2016-02-23,1.1650602e-08,4.99,11.650602
2016-02-24,1.3534047e-08,6.51,13.534047
2016-02-25,1.462131e-08,8.09,14.62131
2016-02-26,1.5921069e-08,24.3,15.921069
2016-02-27,1.0784218e-08,20.3,10.784218
2016-02-28,9.207319e-09,8.82,9.207319
2016-02-29,1.0809414e-08,,10.809414
2016-03-01,2.0568518e-08,,20.568518
2016-03-02,1.318875e-08,,13.188749
2016-03-03,9.9546025e-09,,9.954602
2016-03-04,1.0258578e-08,,10.258578
2016-03-05,2.375146e-08,22.5,23.75146
2016-03-06,1.6725988e-08,9.47,16.725988
2016-03-07,7.992945e-09,6.95,7.992945
2016-03-08,1.5086826e-08,12.7,15.086826
2016-03-09,1.1622117e-08,24.0,11.622117
2016-03-10,2.3893293e-08,40.1,23.893293
2016-03-11,2.5225031e-08,38.2,25.22503
2016-03-12,2.1470864e-08,22.5,21.470863
2016-03-13,1.3611999e-08,19.5,13.611999
2016-03-14,1.7955074e-08,18.5,17.955074
2016-03-15,2.394081e-08,16.2,23.940811
2016-03-16,1.6857694e-08,20.9,16.857695
2016-03-17,1.6477417e-08,15.7,16.477417
2016-03-18,9.4203685e-09,4.86,9.420368
2016-03-19,9.149847e-09,4.32,9.149847
2016-03-20,1.1979335e-08,7.3,11.979335
2016-03-21,1.6027615e-08,12.3,16.027615
2016-03-22,1.5579154e-08,7.35,15.579154
2016-03-23,5.660584e-09,16.6,5.660584
2016-03-24,1.9674662e-08,19.2,19.674662
2016-03-25,1.0545052e-08,10.4,10.545052
2016-03-26,1.4766145e-08,7.09,14.766145
2016-03-27,1.1527675e-08,2.89,11.527675
2016-03-28,1.1962113e-08,2.33,11.962113
2016-03-29,1.1311927e-08,6.34,11.311928
2016-03-30,1.2069289e-08,9.76,12.069288
2016-03-31,2.0069868e-08,9.92,20.069868
2016-04-01,1.4373676e-08,19.8,14.373675
2016-04-02,2.2801332e-08,17.8,22.801332
